date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:57	2747/2747	---MCZ	200	added ('OK')	text/html	etag:%224a80ddaa55e47f4babed086c9810322c-ssl-df%22	https://spark.bootlab.io/pages-404.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/pages-404.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:57	2798/2798	---MCZ	200	added ('OK')	text/html	etag:%22b70069d06b5bf79e64bfd5248f5c317c-ssl-df%22	https://spark.bootlab.io/pages-500.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/pages-500.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:58	36814/36814	---MCZ	200	added ('OK')	text/html	etag:%22c0d618d106c8ce9a8b9ad14e639ccbf0-ssl-df%22	https://spark.bootlab.io/ui-alerts.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/ui-alerts.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:58	40207/40207	---MCZ	200	added ('OK')	text/html	etag:%22f09ebb85784efa4e38ea5306041ef938-ssl-df%22	https://spark.bootlab.io/ui-buttons.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/ui-buttons.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:59	26583/26583	---MCZ	200	added ('OK')	text/html	etag:%2237bb01d1acf788213e46545b684f8a36-ssl-df%22	https://spark.bootlab.io/ui-cards.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/ui-cards.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:59	39761/39761	---MCZ	200	added ('OK')	text/html	etag:%223767b162e3e2ad7fed0b499fb94aa01a-ssl-df%22	https://spark.bootlab.io/ui-general.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/ui-general.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:00	26869/26869	---MCZ	200	added ('OK')	text/html	etag:%22d934c74b3337b288cf3b5ed039d15ad0-ssl-df%22	https://spark.bootlab.io/ui-grid.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/ui-grid.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:01	40585/40585	---MCZ	200	added ('OK')	text/html	etag:%22d09732dc4a7f87c93e037a5844e114f9-ssl-df%22	https://spark.bootlab.io/ui-modals.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/ui-modals.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:01	26382/26382	---MCZ	200	added ('OK')	text/html	etag:%22e5bd91c55fd56eb4bc73785d05bcec20-ssl-df%22	https://spark.bootlab.io/ui-notifications.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/ui-notifications.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:02	25670/25670	---MCZ	200	added ('OK')	text/html	etag:%22414ca7ecf166e6df4ce3075825c1fa94-ssl-df%22	https://spark.bootlab.io/ui-typography.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/ui-typography.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:02	37464/37464	---MCZ	200	added ('OK')	text/html	etag:%22e9ae80fedbf7674efbfbd96168f27eb8-ssl-df%22	https://spark.bootlab.io/ui-tabs.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/ui-tabs.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:03	28052/28052	---MCZ	200	added ('OK')	text/html	etag:%2295f382f02fb1267800b1d0d4dc26d1cd-ssl-df%22	https://spark.bootlab.io/charts-chartjs.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/charts-chartjs.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:03	35791/35791	---MCZ	200	added ('OK')	text/html	etag:%22067e7faa0c905dbbc62fc443778335af-ssl-df%22	https://spark.bootlab.io/charts-apexcharts.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/charts-apexcharts.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:04	27833/27833	---MCZ	200	added ('OK')	text/html	etag:%2220d3a30b91d51039da5480a529925e6b-ssl-df%22	https://spark.bootlab.io/forms-layouts.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/forms-layouts.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:04	36750/36750	---MCZ	200	added ('OK')	text/html	etag:%22eea5c3c1d843a04890a4644b78b870b6-ssl-df%22	https://spark.bootlab.io/forms-advanced-elements.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/forms-advanced-elements.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:04	29482/29482	---MCZ	200	added ('OK')	text/html	etag:%22879a87dde6244c67b90ec6db1d3d6050-ssl-df%22	https://spark.bootlab.io/forms-basic-elements.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/forms-basic-elements.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:05	31267/31267	---MCZ	200	added ('OK')	text/html	etag:%2269a4488e28fd76ea911981c801917ca1-ssl-df%22	https://spark.bootlab.io/forms-input-groups.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/forms-input-groups.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:06	25347/25347	---MCZ	200	added ('OK')	text/html	etag:%224d061b974c463b0571f51fe9938906f0-ssl-df%22	https://spark.bootlab.io/forms-editors.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/forms-editors.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:06	32671/32671	---MCZ	200	added ('OK')	text/html	etag:%22f74e9f5c58f1fe1f57d73bd4efa94034-ssl-df%22	https://spark.bootlab.io/forms-validation.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/forms-validation.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:07	30477/30477	---MCZ	200	added ('OK')	text/html	etag:%225cdcf573330cfa17d1f1e13bb383064f-ssl-df%22	https://spark.bootlab.io/forms-wizard.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/forms-wizard.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:08	35799/35799	---MCZ	200	added ('OK')	text/html	etag:%221d6d1c694069330e839e86da8d79fc34-ssl-df%22	https://spark.bootlab.io/tables-bootstrap.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/tables-bootstrap.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:08	47861/47861	---MCZ	200	added ('OK')	text/html	etag:%222b557be93c5848e313482b09e6474f73-ssl-df%22	https://spark.bootlab.io/tables-datatables.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/tables-datatables.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:09	61311/61311	---MCZ	200	added ('OK')	text/html	etag:%2221ea781f244dec68315ea87c18e40736-ssl-df%22	https://spark.bootlab.io/icons-feather.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/icons-feather.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:09	87283/87283	---MCZ	200	added ('OK')	text/html	etag:%22766cee5579d425bb8b282e7585578790-ssl-df%22	https://spark.bootlab.io/icons-ion.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/icons-ion.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:10	21615/21615	---MCZ	200	added ('OK')	text/html	etag:%22581f665cd1e2bfdcfdfa7424b40de36d-ssl-df%22	https://spark.bootlab.io/calendar.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/calendar.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:10	224590/224590	---MCZ	200	added ('OK')	text/html	etag:%229f044cb4e0154f875efd072080ec8270-ssl-df%22	https://spark.bootlab.io/icons-font-awesome.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/icons-font-awesome.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:11	28432/28432	---MCZ	200	added ('OK')	text/html	etag:%2226bea68c553e74d7f70a0c8b8f902c21-ssl-df%22	https://spark.bootlab.io/maps-google.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/maps-google.html	(from https://spark.bootlab.io/dashboard-default.html)
23:15:12	26997/26997	---MCZ	200	added ('OK')	text/html	etag:%2237cd2b8b1b6593e07705a1870053a4f8-ssl-df%22	https://spark.bootlab.io/maps-vector.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/maps-vector.html	(from https://spark.bootlab.io/dashboard-default.html)
